Questions,1,2,3,4,Genre
De quelle famille sont les plus gros dinosaure ?,Les Sauropodes,Les Tyrannosaures,Les Raptors,Les Ankylosaures,Histoire
Environ combien d'os possède le corps humain ?,200,100,50,85,Sciences
Environ combien de muscles possède le corps humain ?,600,700,800,900,Sciences
Pourquoi le coeur bat plus vite quand on a peur ?,Il prépare le corps à fuir,Il panique,Il prépare le corps à mourir,Il gonfle,Sciences
Le coeur d'un enfant bat plus vite que celui des adultes,Vrai,Faux,,,Sciences
Les empreintes digitales changent à la puberté,Faux,Vrai,,,Sciences
"En majorité, combien de dents possède un adulte ?",28 dents plus 4 dents de sagesse,24 dents plus 4 dents de sagesse,30 dents plus 2 dents de sagesse,32 dents plus 2 dents de sagesse,Sciences
Comment sont créées les vagues ?,Par le vent,Par les bateaux,Par la lune,Par les cétacés,Géo
Pourquoi l'eau de mer est-elle salée ?,"Car l'eau s'évapore, le sel reste",Par les rejets des baleines,Par les rejets des algues,Par les déchets humains,Géo
Quelle est la température de la lave par rapport à de l'eau bouillante ?,10 fois plus chaude,20 fois plus chaude,100 fois plus chaude,1000 fois plus chaude,Géo
Le désert du Sahara grandit au fil du temps,Vrai,Faux,,,Géo
Pourquoi les baobabs sont-ils si gros ?,Ils absorbent l'eau,Ils absorbent la poussière,Ils abrîtent de la sève,Ils abrîtent des animaux,Géo
La savane est un terme résérvé à l'Afrique. Comment se nomme cette même terre en Amérique du Sud ?,La pampa,La steppe,La grande prairie,La jungle,Géo
Combien de temps fait-il nuit au pôle Nord ?,6 mois,1 semaine,3 semaines,2 mois,Géo
Pourquoi il y a t-il des marées ?,La lune attire l'eau des océans,Le soleil attire l'eau des océans,Une partie du sable disparait ,Une partie des côtes disparait,Géo
Pourquoi les feuilles des arbres tombent en hiver ?,Par manque de lumière,Par manque d'amour,Par manque d'eau,Par manque de CO2,Géo
Les stalagmites grandissent de 2mm par an. Depuis combien de temps pousse un stalagmite si il mesure 10 m ?,5 000 ans,50 000 ans,50 ans,555 ans,Géo
Comment s'appelle le versant d'une montagne le plus au nord ?,L'ubac,L'adret,La côte,Le plateau nord,Géo
Quel est le point commun entre le Fuji-Yama et le Kilimandjaro ?,Ces sommets enneigés sont en fait des cratères de volcan ,Ces sommets givrés sont asiatiques,Ces sommets glacés sont africains,Ce sont deux montagnes de plus de 100km de large,Géo
Pourquoi la majorité des feuilles des plantes sont-elles vertes ?,Elles contienent de la chlorophylle,Elles contienent de la menthe,Elles contienent du pollen,"Elles sont en réalité blanches, et grillent au soleil",Nature
Laquelle de ces plantes peut avoir des fleurs ?,Les angiospermes,Les algues,Les mousses,Les fougères,Nature
Pourquoi les fleurs sentent-elles bon ?,Pour attirer les insectes,Pour repousser les insectes,Pour rien,Pour toi,Nature
Comment se nomme la fleur en forme de clochette qui contient du poison ?,La digitale,La numérique,L'informatique,La bureautique,Nature
Pourquoi le tournesol se tourne-t-il toujours vers le soleil ?,Pour que ses graines mûrissent plus vite,Pour allonger son espérance de vie,Pour protéger celui derrière lui,Pour que leur pétales soient jaunes,Nature
Laquelle de ces plantes n'est pas une céréale ?,Le céleri,Le riz,Le maïs,Le sorgho,Nature
Les champignons de Paris ne sont plus cultivés à Paris,Vrai,Faux,,,Nature
Qu'est-ce qu'une plante carnivore ne peut pas manger ?,Un serpent,Un oiseu,Une grenouille,Un rat,Nature
Quelle est la particularité de la fleur d'Edelweiss ?,Elle a des poils,Elle sent mauvais,Elle est visqueuse,Elle mesure 2 mètres,Nature
"Quelle affirmation est fausse sur le Dingo, un chient sauvage ?",Il mange le plus faible de ses petits,Il hurle comme un loup,Il ressemble au renard,Il attaque les kangourous,Animaux
Le guépard est le seul félin à ne pas pouvoir sortir et rentrer ses griffes à volonté,Vrai,Faux,,,Animaux
Les points sur le dos des coccinelles indique leur âge,Faux,Vrai,,,Animaux
"Pourquoi dit-on ""myope comme une taupe"" ?",Ses yeux sont trop petits pour voir,Ses yeux sont abimés lors de l'accouchement,Elle n'a pas d'yeux,Le mâle blesse le bébé taupe aux yeux pour l'habituer aux galeries souterraines,Animaux
Jusqu'à combien de piquants peut avoir un hérisson adulte ?,7 000,3 000,1 000,650,Animaux
Les bébés hérisson naissent chauves,Vrai,Faux,,,Animaux
Les guêpes meurent en perdant leur dard quand elles piquent,Faux,Vrai,,,Animaux
Combien d'oeufs la reine des abeilles peut-elle pondre par jour ?,Des centaines,Des dixaines,Des milliers,1,Animaux
"Les fourmis s'orientent avec 2 sens, leurs antennes mais également avec",Leur odorat,Leur vue,Leurs ondes,Leur cris,Animaux
Seuls les moustiques mâles piquent,Faux,Vrai,,,Animaux
Pourquoi les cigales chantent en été ?,Pour attirer les femelles,Pour faire fuir les prédateurs,Pour analyser l'environnement qui les entoure,Pour déstresser,Animaux
Où les libellules pondent-elles leurs oeufs ?,Dans l'eau,Dans une fleur,Sous terre,Sur un nénuphare,Animaux
Les mille-pattes ont moins de mille pattes,Vrai,Faux,,,Animaux
"Pourquoi avont-nous nommé les mantes comme ""religieuses"" ?",Car leur pattes avant font la prière,Car elles se reposent 1 jour dans la semaine,Car elles chantent en coeur,Car elles désignent un de leurs membres pour l'adorer,Animaux
Quel est le vrai nom des araignées d'eau ?,Les gerris,Les morues,Les phasmes,Les nipers,Animaux
 ,,,,,